1	Alabama	314.32422	241.93439	4611.5	AL
2	Alaska	96.13907	316.16797	670.5	AK
4	Arizona	134.85269	178.948	5890.4	AZ
5	Arkansas	274.65027	209.88553	2801.9	AR
6	California	66.34549	208.30316	35919.195	CA
8	Colorado	173.09634	176.73035	4708.7007	CO
9	Connecticut	519.1766	106.89685	3510.7998	CT
10	Delaware	481.8246	164.88077	577.3	DE
11	District of Columbia	481.93347	148.24884	850.30005	DC
12	Florida	366.2038	316.41837	17786.502	FL
13	Georgia	357.2246	256.89035	9054.801	GA
15	Hawaii	60.589508	315.44156	1295.3	HI
16	Idaho	139.4383	117.42006	1447.6001	ID
17	Illinois	260.7799	165.98956	12649.7	IL
18	Indiana	311.3286	161.66318	6308.0996	IN
19	Iowa	217.9925	140.48726	2980.8	IO
20	Kansas	214.79565	209.88553	2766.5002	KS
21	Kentucky	349.35425	214.21194	4203.3003	KY
22	Louisiana	246.49493	245.91116	4477.6	LA
23	Maine	529.1558	20.213646	1316.1998	ME
24	Maryland	452.88696	158.5544	5593.1	MD
25	Massachusetts	523.8293	69.87125	6443.8994	MA
26	Michigan	330.6134	113.44084	9991.8	MI
27	Minnesota	213.44849	106.67926	5147.4004	MN
28	Mississippi	280.0855	239.36719	2908.5	MS
29	Missouri	212.23965	175.28635	5817.5	MO
30	Montana	160.5055	104.31445	947.7999	MT
31	Nebraska	179.36993	147.14003	1769.2	NE
32	Nevada	129.11191	145.24884	2446.6997	NV
33	New Hampshire	528.1558	39.38965	1296.2999	NH
34	New Jersey	457.43103	114.76726	8654.3	NJ
35	New Mexico	187.85794	208.10315	1946.6998	NM
36	New York	468.6278	55.239243	19185.002	NY
37	North Carolina	414.4262	210.34152	8857.3	NC
38	North Dakota	182.44351	102.22325	650.5999	ND
39	Ohio	359.6598	168.31601	11470.6	OH
40	Oklahoma	245.05975	212.21194	3591.2	OK
41	Oregon	99.956696	143.03123	3651.9998	OR
42	Pennsylvania	404.5558	110.461655	12492.999	PA
44	Rhode Island	543.0054	100.24403	1061.9	RI
45	South Carolina	400.01178	253.01996	4336.0996	SC
46	South Dakota	181.5347	121.76405	782.4	SD
47	Tennessee	311.21973	203.34152	6047.2007	TN
48	Texas	190.07553	263.86954	23177.303	TX
49	Utah	155.1583	145.24884	2511.5	UT
50	Vermont	510.30615	41.824844	620.7001	VT
51	Virginia	410.20862	161.22801	7611.4004	VA
53	Washington	104.956696	106.00566	6338.4	WA
54	West Virginia	378.5094	208.66794	1825.8	WV
55	Wisconsin	251.8006	117.76726	5558.1	WI
56	Wyoming	161.5055	121.96405	524.89996	WY
